	research_title	research_subject
142	자동차 페인트 도장공에서 발생한 과민성 폐렴 = A Case of Hypersensitivity Pneumonitis in an Automobile Paint Sprayer	Hypersensitivity pneumonitis ;  Isocyanate ;  Paint sprayer
143	국소적 섬유화 세로칸염에 의해 유발된 상대정맥증후군 = Localized Fibrosing Mediastinitis with Superior Vena Caval(SVC) Syndrome	Fibrosing mediastinitis ;  Superior vena caval syndrome
144	크론씨 병에 동반된 Goodpasture 증후군 = A Case of Goodpasture`s Syndrome Combined with Crohn`s Disease	Goodpsture syndrome ;  Crohn disease ;  anti-GBM antibody
145	심장이식 환자에서 발생한 비결핵항산균 폐질환 2예 = Two Cases of Nontuberculous Mycobacterial Lung Disease in Heart Transplant Recipients	Mycobacteria ;  Atypical ;  Heart Transplantation ;  Lung Diseases
146	흉선암종과 동반된 전신홍반루푸스의 = A Case of Concurrent Thymic Carcinoma with Systemic Lupus Erythematosus	Thymic carcinoma ;  Systemic Lupus erythematosus ;  Autoimmune disease
147	Seasonal Occurrence and Control of Silkworm Diseases, Grasserie, Flacherie and Muscardine and Insect Pest, Uzi fly in Andhra Pradesh, India	Flacherie ;  Grasserie ;  Muscardine ;  Uzi fly
148	Duplicated extrahepatic bile duct (type Vb): An important rare anomaly	Rare diseases ;  Extrahepatic bile ducts ;  Magnetic resonance cholangiopancreatography ;  Congenital abnormalities ;  Gallstones
149	A rare case of Sjogren-Larsson syndrome with recurrent pneumonia and asthma	Asthma ;  Ichthyosis ;  Leukotriene B4 ;  Recurrent pneumonia ;  Sjogren-Larsson syndrome
150	A Rare Radiological Presentation of Pulmonary Mucosa-Associated Lymphoid Tissue Lymphoma as Bronchovascular Thickening and Ground Glass Opacities with Concurrent Pancreas Involvement	Pulmonary mucosa-associated lymphoid tissue lymphoma ;  Pancreas ;  Rituximab
151	A Rare Case of Tracheomalacia Associated with Vascular Ring in an Infant	Tracheomalacia ;  Vascular ring ;  Double aortic arch ;  Infant
152	폐선암과 병발한 비특이적간질성폐렴 1례 = A Case of Non-Specific Interstitial Pneumonia Associated with Primary Lung Adenocarcinoma	Interstitial Lung diseases ;  Lung cancer ;  Adenocarcinoma
153	A Case of Tracheobronchial Aspergillosis Resolved Spontaneously in an Immunocompetent Host	Aspergillosis ;  Bronchial Diseases ;  Immunocompetence
154	정상 면역 성인에서 발생한 수두 폐렴 1예 = Image of the Month : Varicella-Zoster Virus Pneumonia in Immunocompetent Adults	Chickenpox ;  Herpesvirus 3 ;  Human ;  Pneumonia ;  Immunocompetence ;  Adult
155	Case Reports : Allergic Bronchopulmonary Aspergillosis Coupled with Sinusitis in a Nonasthmatic Patient = Case Reports : Allergic Bronchopulmonary Aspergillosis Coupled with Sinusitis in a Nonasthmatic Patient	Aspergillosis ;  Allergic Bronchopulmonary ;  Sinusitis ;  Asthma
156	비소세포폐암 환자에서 부종양성 증후군의 증상으로 발생한 좌측 3, 4 뇌신경 마비 = A Case of Cranial Nerve Palsy as a Paraneoplastic Syndrome in Non-Small Cell Lung Cancer	Paraneoplastic Syndromes ;  Nervous System ;  Carcinoma ;  Non-Small-Cell Lung ;  Paralysis ;  Cranial Nerves
157	전종격동에서 발생한 악성 횡문근양 종양 = A Case of Malignant Rhabdoid Tumor in the Anterior Mediastinum	Rhabdoid Tumor ;  Mediastinum
158	pncA Mutations in the Specimens from Extrapulmonary Tuberculosis = pncA Mutations in the Specimens from Extrapulmonary Tuberculosis	Antitubercular Agents ;  Pyrazinamide ;  Tuberculosis ;  Amidohydrolases ;  Mycobacterium bovis
159	원발성 위암으로 오인된 전이성 비소세포 폐암 = Gastric Metastasis of Primary Lung Adenocarcinoma Mistaken for Primary Gastric Cancer	Lung cancer ;  Stomach cancer ;  Metastasis ;  Hemoptysis ;  Hematemesis
160	결핵성 림프절염에 이차적으로 발생한 결핵성 요근 농양 = A Case of Tuberculous Psoas Abscess Caused by Tuberculous Lymphadenopathy	Tuberculosis ;  Psoas abscess ;  Lymphadenopathy
161	부분 자연 관해를 보인 비소세포폐암 = A Case of Partial Spontaneous Regression of Non-Small Cell Lung Cancer	Spontaneous regression ;  Non-small-cell Lung carcinoma
162	Image of the Month : Obstructive Fibrinous Tracheal Pseudomenbrane Mimicking Tracheal Stents = Image of the Month : Obstructive Fibrinous Tracheal Pseudomenbrane Mimicking Tracheal Stents	Trachea ;  Airway Obstruction ;  Fibrin ;  Stents
163	혈관육종의 낭성 폐전이에 의한 기흉 = A Case of Pneumothorax Caused by Cystic Lung Metastasis of Angiosarcoma	Angiosarcoma ;  Cyst ;  Lung metastasis ;  Pneumothorax
164	기침으로 유발된 복직근초 혈종 및 복강내 혈종 = A Case of Rectus Sheath Hematoma and Intraperitoneal Hematoma Induced by Cough	Rectus abdominis ;  Hematoma ;  Cough ;  Warfarin
165	비디오 흉강경 수술로 완치된 월경성 객혈 = Catamenial Hemoptysis Treated by Video-assisted Thoracoscopic Surgery	Catamenial hemoptysis ;  Pulmonary endometriosis ;  Video-assisted thoracoscopic surgery ;  VATS
166	하대정맥 필터 삽입 후 합병증으로 발생한 Phlegmasia Cerulea Dolens = A Case of Phlegmasia Cerulea Dolens as a Complication Caused by Placement of Inferior Vena Cava Filter	Phlegmasia cerulea dolens ;  Inferior vena cava filter ;  Pulmonary embolism
167	원발성 기관지내 평활근종 = A Case of Primary Endobronchial Leiomyoma	Primary Leiomyoma ;  Endobronchial ;  Lung
168	대량 객혈과 무기폐를 동반한 기관 골연골증 = Tracheopathia Osteochlastica with Recurrent Massive Hemoptysis and Atelectasis A Case Report	Tracheopathia osteochlastica ;  Massive hemoptysis ;  Atelectasis
169	악성 종양 표지자가 상승된 만성 흉수를 동반한 종격동 기형종 = A Case of Mediastinal Teratoma Associated with Elevated Tumor Marker in Chronic Empyema	Teratoma ;  Pleural effusion ;  Carcinoembryonic antigen
170	Case Reports : A Case of Yellow Nail Syndrome: Misdiagnosis as Congestive Heart Failure = Case Reports : A Case of Yellow Nail Syndrome: Misdiagnosis as Congestive Heart Failure	Yellow Nail Syndrome ;  Lymphedema ;  Pleural Effusion
171	Case Reports : Prostatic Cancer Presenting as an Isolated Large Lung Mass = Case Reports : Prostatic Cancer Presenting as an Isolated Large Lung Mass	Metastasis ;  Prostatic Neoplasms ;  Thyroid Transcription Factor 1 ;  Tumor Markers ;  Biological
172	Case Reports : Pulmonary Lipiodol Embolism after Transcatheter Chemoemboliza-tion for Hepatocellular Carcinoma = Case Reports : Pulmonary Lipiodol Embolism after Transcatheter Chemoemboliza-tion for Hepatocellular Carcinoma	Carcinoma ;  Hepatocellular ;  transcatheter arterial chemoembolization ;  Pulmonary Embolism ;  Lipiodol
173	인위성 객혈 = A Case of Factitious Hemoptysis	Factitious ;  Hemoptysis
174	Tracheobronchial Polyps Following Thermal Inhalation Injury	Burns ;  Inhalation ;  Polyps ;  Trachea ;  Bronchi
175	Case Reports : Concurrent Diagnosis of Pulmonary Metastasis of Malignant Mixed Mullerian Tumor and Small Cell Lung Cancer = Case Reports : Concurrent Diagnosis of Pulmonary Metastasis of Malignant Mixed Mullerian Tumor and Small Cell Lung Cancer	Mixed Tumor ;  Mullerian ;  Small Cell Lung Carcinoma
176	금속 코일 색전술로 치료된 기관지 확장증이 동반된 기관지 동맥류 = A Case of Bronchial Artery Aneurysm with Bronchiectasis and Successful Coil Embolization	Bronchial artery aneurysm ;  Bronchiectasis ;  Coil embolization
177	결핵 후유증과 진균덩이를 가진 객혈환자에서 발견된 기관 게실 1례 = A Case of Tracheal Diverticula in a Hemoptysis Patient with Tuberculosis Sequela and Fungus Ball	Trachea diverticulum ;  Fungus ball
178	자연적 퇴화가 발생한 비소세포폐암 = A Case of Spontaneous Regression of Non-small-cell Lung Cancer	Spontaneous regression ;  Non-small-cell Lung cancer ;  Treatment
179	다발성 경화 소견으로 발현된 림프구성 간질성 폐렴 = A Case of Lymphocytic Interstitial Pneumonia Manifested as a Multi-focal Consolidation	Lymphocytic interstitial pneumonia ;  Cryptogenic organizing pneumonia ;  Interstitial Lung disease
180	Case Reports : Congenital Cystic Adenomatoid Malformation with Bronchial Atresia in Elderly Patients = Case Reports : Congenital Cystic Adenomatoid Malformation with Bronchial Atresia in Elderly Patients	Cystic Adenomatoid Malformation of Lung ;  Congenital ;  Aged ;  Bronchi ;  Abnormalities
181	자궁근종을 동반한 원발성 기관지 평활근종 = Primary Endobronchial Leiomyoma Combined with Uterine Leiomyoma	Primary endobronchial Leiomyoma ;  Uterine Leiomyoma
182	알파태아단백을 분비하는 원발성 폐 선암 = A Case of Alpha-Fetoprotein Producing Adenocarcinoma of the Lung	Alpha-fetoprotein ;  Lung cancer ;  Adenocarcinoma
183	대량객혈로 발견된 원발성 기관지내 평활근육종 = A Case of Primary Endobronchial Leiomyosarcoma Noticed by Massive Hemoptysis	Endobronchial Leiomyosarcoma ;  Surgical resection
184	Case Reports : A Case of Capillary Hemangioma of Lingular Segmental Bronchus in Adult = Case Reports : A Case of Capillary Hemangioma of Lingular Segmental Bronchus in Adult	Hemangioma ;  Capillary ;  Bronchi ;  Hemoptysis ;  Bronchoscopy
185	폐색전증으로 오인된 폐동맥내막육종 1예 = A Case of Pulmonary Artery Intimal Sarcoma Masquerading as Pulmonary Embolism	Vascular Neoplasms ;  Sarcoma ;  Pulmonary Embolism ;  General Surgery ;  Chemotherapy ;  Adjuvant
186	Case Report : Cerebral Air Embolism Following Pigtail Catheter Insertion for Pleural Fluid Drainage = Case Report : Cerebral Air Embolism Following Pigtail Catheter Insertion for Pleural Fluid Drainage	Embolism ;  Air ;  Chest Tubes ;  Pleural Effusion
187	Case Reports : Disseminated Mycobacterium intracellulare Infection in an Immunocompetent Host = Case Reports : Disseminated Mycobacterium intracellulare Infection in an Immunocompetent Host	Nontuberculous Mycobacteria ;  Immunocompetence ;  Positron-Emission Tomography ;  Hybridization ;  Genetic
188	식도 이완 불능증과 간질성 폐렴을 동반한 전신성 홍반성 낭창 = Systemic Lupus Erythematosus Associated with Interstitial Pneumonia and Achalasia	Interstitial pneumonia ;  Achalasia ;  SLE
189	이달의 X-선 : Polymethylmethacrylate를 이용한 경피적 척추성형술 후 흉부 X선에서 관찰된 다수의 양측성, 분지상 선상 음영 = Roentgenogram of the Issue : Numerous Bilateral Radiographically Dense Branching Opacities after Vertebroplasty with Polymethylmethacrylate	Pulmonary embolism ;  Polymethylmethacrylate ;  PMMA ;  Bone cement ;  Percutaneous vertebroplasty
190	Case Reports : Delftia acidovorans Isolated from the Drainage in an Immunocompetent Patient with Empyema	Delftia acidovorans ;  Pleural empyema ;  Immunocompetence
191	과호모시스테인혈증 환자에서 발생된 폐색전증 = A Case of Pulmonary Thromboembolism in a Patient with Hyperhomocysteinemia	Hyperhomocysteinemia ;  Pulmonary embolism
192	결핵성 공동으로 오인된 외상 후 발생한 가성 폐낭종 1예 = Image of the Month : A Case of Post-Traumatic Pulmonary Pseudocyst Mimicking Pulmonary Cavitary Tuberculosis	Lung Injury ;  Cysts ;  Wounds and Injuries ;  Cavity
193	동맥색전술로 시술한 폐격리증 = A Case of Pulmonary Sequestration Treated with Arterial Embolization	pulmonary sequestration ;  arterial embolization
194	성인의 기관에 발생된 모세관 혈관종 = A Case of Tracheal Capillary Hemangioma in an Adult	Hemoptysis ;  Hemangioma ;  Capillary ;  Trachea
195	Case Report : Erlotinib-Related Spontaneous Pneumothorax in Patient with Primary Lung Cancer = Case Report : Erlotinib-Related Spontaneous Pneumothorax in Patient with Primary Lung Cancer	Pneumothorax ;  Lung neoplasm ;  erlotinib
196	결핵성 흉막염 치료 후 잔류된 만성 흉막삼출에서 발생한 가성유미흉 = A Case of Pseudochylothorax Developed from Chronic Pleural Effusion after Treatment of Tuberculous Pleurisy	Pseudochylothorax ;  Cholesterol ;  Pleural Effusion
197	Case Report : Supradiaphragmatic Heterotopic Liver Presenting as a Pleural Mass: A Case Report = Case Report : Supradiaphragmatic Heterotopic Liver Presenting as a Pleural Mass: A Case Report	Liver ;  Thorax ;  Diaphragm
198	성인에서 횡격막마비로 오인한 우엽간 횡격막탈장 1예 = Image of the Month : Diaphragmatic Hernia of the Right Hepatic Lobe Mistaken for Diaphragmatic Paralysis in Adult	Hernia ;  Diaphragm ;  Liver
199	Case Reports : Cavernous Sinus Metastasis of Non-Small Cell Lung Cancer = Case Reports : Cavernous Sinus Metastasis of Non-Small Cell Lung Cancer	Lung Neoplasms ;  Cavernous Sinus ;  Neoplasm Metastasis
200	Image of the Month : Bronchopulmonary Sequestration with Dual Arterial Supply from Celiac Artery and Thoracic Aorta	Bronchopulmonary Sequestration ;  Celiac Artery ;  Aorta ;  Thoracic
201	Case Reports : A Case of Ischemic Colitis Associated with Paclitaxel Loaded Polymeric Micelle (Genexol-PM(R)) Chemotherapy = Case Reports : A Case of Ischemic Colitis Associated with Paclitaxel Loaded Polymeric Micelle (Genexol-PM(R)) Chemotherapy	Paclitaxel ;  Genexol-PM ;  Colitis ;  Ischemic
202	Tuberculosis and other opportunistic infections in tofacitinib-treated patients with rheumatoid arthritis	Tuberculosis ;  Infections ;  Treatment ;  Rheumatoid Arthritis ;  DMARDs (synthetic)
203	Image of the Month : Newly Developed Weakness of Lower Extremities Despite Improved Brain Metastasis of Lung Cancer after Radiotherapy	Small Cell Lung Carcinoma ;  Neoplasm Metastasis ;  Spinal Cord
204	Case Reports : Endobronchial Metastasis of Epithelioid Sarcoma = Case Reports : Endobronchial Metastasis of Epithelioid Sarcoma	Sarcoma ;  Epithelioid ;  Neoplasm Metastasis ;  Bronchi ;  Sarcoma ;  Soft Tissue
205	면역저하가 없는 환자에서 Alcaligenes xylosoxidans에 의한 호흡기계 감염 2예 = Two Cases of Pulmonary Infection due to A. xylosoxidans Infection in an Immunocompentent Patient	Alcaligenes xylosoxidans ;  Pulmonary infection ;  Gram-negative rod
206	결핵성 파괴폐에 의한 폐동맥 고혈압 환자에서 발견된 근위부 폐동맥 혈전증 = A Case of Pulmonary Arterial Thrombosis in a Patient with Tuberculous-destroyed Lung and Pulmonary Hypertension	Pulmonary arterial thrombosis ;  Tuberculous-destroyed Lung ;  Pulmonary hypertension
207	건강한 젊은 남성에서 발생한 폐트리코모나스증 = A Case of Pulmonary Trichomoniasis in a Young Healthy Male	Trichomonas ;  Lung ;  Pulmonary trichomoniasis
208	이달의 X-선 : 패렴을 동반한 기관 및 주기관지의 확장 소견 = Roentgenogram of the issue : A Case of Tracheobronchomegaly with Pneumonia	Tracheobronchomegaly ;  Mounier-Kuhn syndrome
209	결핵성흉막염 환자에서 흉수 내 아데노신 탈아민효소(Adenosine deaminase)의 활성도와 CT에서 흉막의 조영증강 양상과의 연관성 = Relationship between Pleural Adenosine Deaminase Level and Patterns of Pleural Enhancement in Patients with a Tuberculous Pleural Effusion on CT Scan	Adenosine deaminase ;  Pleural effusion ;  Tuberculosis
210	수술 및 단기간의 항생제 투여로 완치된 기관지 방선균증 2예 = Two Cases of Endobronchial Actinomycosis that were Cured by Operation and Short Term Antibiotics Therapy	Endobronchial actinomycosis ;  Treatment ;  Short term ;  antibiotics
211	양측 가슴벽에 동시에 발생하고 일측의 덩어리는 피부로 진행된 원발성 신경집종 = A Case of Double Primary Neurilemmoma on Both Chest Wall, One of Them is Bulging to Skin from Intercostal Nerve	Bilateral neurilemmomas ;  Chest wall
212	우중하엽 폐허탈 및 폐쇄세기관지기질화 폐렴을 유발한 기관지 지방종 = A Case of Endobronchial Lipoma Causing Right Middle and Lower Lobes Collapse and Bronchiolitis Obliterans-organizing Pneumonia	Endobronchial Lipoma ;  Bronchiolitis obliterans-organizing pneumonia
213	Isoniazid를 포함한 항결핵약제 투여 후 발생한 여성형 유방 증례 = A Case of Bilateral Gynecomastia Associated with Isoniazid	Gynecomastia ;  Isoniazid
214	Case Reports : A Case of Pulmonary Capillary Hemangiomatosis-Like Lesion Followed for Seven Years = Case Reports : A Case of Pulmonary Capillary Hemangiomatosis-Like Lesion Followed for Seven Years	Hemangioma ;  Capillary/Diagnosis ;  Tomography ;  X-Ray Computed ;  Magnetic Resonance imaging
